Team,Rushing_Touchdowns,Receiving_Touchdowns,Total_Touchdowns,Two_Point_Conversions,Wins,Losses,Ties
49ers,17,23,42,0,6,11,0
Bears,13,20,36,3,5,12,0
Bengals,11,43,57,1,9,8,0
Bills,32,30,65,1,13,4,0
Broncos,12,30,47,0,10,7,0
Browns,8,19,29,5,3,14,0
Buccaneers,16,41,59,1,10,7,0
Cardinals,18,21,42,3,8,9,0
Chargers,17,23,41,3,11,6,0
Chiefs,15,26,42,0,15,2,0
Colts,20,20,41,1,8,9,0
Commanders,25,29,55,4,12,5,0
Cowboys,6,23,33,1,7,10,0
Dolphins,12,22,34,2,8,9,0
Eagles,29,24,54,3,14,3,0
Falcons,18,21,43,2,8,9,0
Giants,13,15,30,1,3,14,0
Jaguars,13,19,34,4,4,13,0
Jets,8,31,40,5,5,12,0
Lions,29,39,70,1,15,2,0
Packers,23,28,52,3,11,6,0
Panthers,18,22,40,1,5,12,0
Patriots,11,18,30,3,4,13,0
Raiders,10,19,30,2,4,13,0
Rams,15,22,41,0,10,7,0
Ravens,21,41,65,1,12,5,0
Saints,15,21,37,1,5,12,0
Seahawks,17,21,43,0,10,7,0
Steelers,14,21,37,0,10,7,0
Texans,15,20,38,0,10,7,0
Titans,11,22,33,3,3,14,0
Vikings,9,35,47,0,14,3,0
